comment,title,views,dislikes,commentCount,likes,replies,id
A ver la persona que dice que el vídeo es real está compinchada...﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
"auron mirate l,pet goat 2 y haz un video comentandolo a ver q te parece﻿",CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
Debería ser tratado como terrorismo el escribir asi.﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
haz mas videos﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
haz otro video de estos por dios q risa﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
como haces para poner ese fondo de ti y ese perrito﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
"XD - <a href=""http://www.youtube.com/watch?v=PZsNrJzFSbk&amp;t=5m38s"">5:38</a><br /><br />Sr. Astral ha dado dislike a este video XD﻿",CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
especial 4.000.000 hazlo mañama﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
like﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
conozco gente estupida y a la gente que se lo creyó ¬_¬﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
Auron me gustaria que dieras tu opinion sobre un canal sobre invocaciones como por ej: el de TheYouManShow y bobby TR Zona Paranormal.﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
"El video del humanoide ese que estaba encima del bloque se hizo con un programa , creo que se llamaba 3D grafichs algo asi por que tambien habia un video parecido mas antiguo grabado en rusia﻿",CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
Comenta vali 08﻿,CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
"No paro de reír en el minuto <a href=""http://www.youtube.com/watch?v=PZsNrJzFSbk&amp;t=1m33s"">1:33</a>, &quot;esecto&quot; que hijo de puta xD﻿",CASOS PARANORMALES RIDÍCULOS,2021761,5900,16722,278807,0,PZsNrJzFSbk
